homeDwellingType,homeNoOfBedrooms,homeFuel,homeAge,type,kgCO2PerYear,units,source,default
detached house,4,biomass,pre 1930,boiler (wood chip/pellets),1263,kgco2/year,defra/bre/dgen 2007,
detached house,4,biomass,pre 1930,stove,3257,kgco2/year,defra/bre/dgen 2007,
detached house,4,biomass,post 1995,boiler (wood chip/pellets),608,kgco2/year,defra/bre/dgen 2007,
detached house,4,biomass,post 1995,stove,2602,kgco2/year,defra/bre/dgen 2007,
detached house,4,coal,1930-1995,boiler-manual feed,15346,kgco2/year,defra/bre/dgen 2007,
detached house,4,coal,1930-1995,boiler automatic (gravity) feed,14067,kgco2/year,defra/bre/dgen 2007,
detached house,4,coal,1930-1995,open fires,24664,kgco2/year,defra/bre/dgen 2007,
detached house,4,coal,1930-1995,closed room heaters,14150,kgco2/year,defra/bre/dgen 2007,
detached house,4,coal,pre 1930,boiler-manual feed,20103,kgco2/year,defra/bre/dgen 2007,
detached house,4,coal,pre 1930,boiler automatic (gravity) feed,18428,kgco2/year,defra/bre/dgen 2007,
detached house,4,coal,pre 1930,open fires,32841,kgco2/year,defra/bre/dgen 2007,
