"airportName","country","IATACode","fullName","latitude","longitude","units","source"
"Mcallen [MFE]","United States","MFE","Mc Allen Miller International","26.18","-98.24","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Moanda [MFF]","Gabon","MFF","Moanda","-1.54","13.27","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Muzaffarabad [MFG]","Pakistan","MFG","Muzaffarabad","34.34","73.51","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Mafikeng [MFK]","South Africa","MFK","Mafikeng North","-25.75","25.61","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Macau [MFM]","Macau","MFM","Macau International","22.15","113.59","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Maradi [MFQ]","Niger","MFQ","Maradi","13.5","7.13","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Mfuwe [MFU]","Zambia","MFU","Mfuwe","-13.26","31.94","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Managua [MGA]","Nicaragua","MGA","Managua International","12.14","-86.17","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Magdalena [MGD]","Bolivia","MGD","Magdalena","-13.25","-64.06","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Marietta [MGE]","United States","MGE","Dobbins Arb","33.92","-84.52","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
