country,type,annualMassDirectCO2PerEnergy,massDirectCO2PerEnergy,massIndirectCO2ePerEnergy,massLifeCycleCO2ePerEnergy,percentElectricity,percentHeat,percentLossesElectricity,percentLossesHeat,units,source
"Republic of Korea",electricity distribution and transmission,0.01693,0.01697,0.00227,0.01924,0.883045062,0.116954938,0.037421115,0.021016607,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Malaysia,electricity distribution and transmission,0.01863,0.01761,0.00235,0.01996,1,0,0.028509165,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Mexico,electricity distribution and transmission,0.09455,0.10345,0.01383,0.11728,1,0,0.175126316,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
New Zealand,electricity distribution and transmission,0.01809,0.01755,0.00235,0.0199,0.991479012,0.008520988,0.076193704,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Norway,electricity distribution and transmission,0.00048,0.00062,0.00008,0.0007,0.971739656,0.028260344,0.08539864,0.130999157,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Pakistan,electricity distribution and transmission,0.123,0.12444,0.01664,0.14108,1,0,0.23129549,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Philippines,electricity distribution and transmission,0.07597,0.07126,0.00953,0.08079,1,0,0.134915443,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Russian Federation,electricity distribution and transmission,0.03576,0.03134,0.00419,0.03553,0.367319867,0.632680133,0.138702291,0.063577694,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Saudi Arabia,electricity distribution and transmission,0.07749,0.07757,0.01037,0.08794,1,0,0.09297945,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Singapore,electricity distribution and transmission,0.03154,0.035,0.00468,0.03968,1,0,0.057567748,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
South Africa,electricity distribution and transmission,0.09303,0.09024,0.01207,0.10231,1,0,0.096036751,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Switzerland,electricity distribution and transmission,0.00206,0.00217,0.00029,0.00246,0.931174088,0.068825912,0.068572357,0.085877159,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Thailand,electricity distribution and transmission,0.03498,0.0422,0.00564,0.04784,1,0,0.07370176,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Turkey,electricity distribution and transmission,0.07855,0.07515,0.01005,0.0852,0.946852346,0.053147654,0.152998939,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Ukraine,electricity distribution and transmission,0.09152,0.0894,0.01195,0.10135,0.521955472,0.478044528,0.159221024,0.251657316,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
United States,electricity distribution and transmission,0.03604,0.04003,0.00535,0.04538,0.973589884,0.026410116,0.065481844,0.180075941,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Africa,electricity distribution and transmission,0.08483,0.0899,0.01202,0.10192,0.99956213,0.00043787,0.124874658,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Latin America,electricity distribution and transmission,0.03924,0.03829,0.00512,0.04341,0.998643447,0.001356553,0.165127303,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Middle-East,electricity distribution and transmission,0.10707,0.10505,0.01405,0.1191,1,0,0.132285413,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Non-OECD Europe,electricity distribution and transmission,0.09098,0.09115,0.01219,0.10334,0.748241982,0.251758018,0.152881681,0.158829103,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
United Kingdom,electricity distribution and transmission,0.03872,0.04001,0.00485,0.04513,,,,,," Annex 3, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Austria,electricity consumption,0.19451,0.22059,0.0295,0.25009,0.79023719,0.20976281,0.055733675,0.080056725,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
