"material","type","subtype","energyPerMass","massCO2PerMass","massCO2ePerMass","boundary","note","units","source"
"Paint","General",,70.000,2.420,2.910,"Cradle to gate","Large variations in data, especially for embodied carbon. Includes feedstock energy. Water based paints have a 70% market share.  Water based paint has a lower embodied energy than solvent based paint.",,"http://people.bath.ac.uk/cj219/"
"Paint","Solventborne",,97.000,3.130,3.760,"Cradle to gate","Solventborne paint has a 30% share of the market. Includes feedstock energy.  It was  difficult to estimate carbon emissions for Solventborne paint.",,"http://people.bath.ac.uk/cj219/"
"Paint","Waterborne",,59.000,2.120,2.540,"Cradle to gate","Waterborne paint has a 70% of market share. Includes feedstock energy.",,"http://people.bath.ac.uk/cj219/"
"Paper","Fine",,28.200,1.490,,"Cradle to gate","Excluding CV of wood, excludes carbon sequestration",,"http://people.bath.ac.uk/cj219/"
"Paper","Paperboard","General for construction use",24.800,1.290,,"Cradle to gate","Excluding calorific value (CV) of wood, excludes carbon sequestration/biogenic carbon storage.",,"http://people.bath.ac.uk/cj219/"
"Paper","Wallpaper",,36.400,1.930,,"Cradle to gate",,,"http://people.bath.ac.uk/cj219/"
"Perlite","Expanded",,10.000,0.520,,"Not specified","Ref. 114.",,"http://people.bath.ac.uk/cj219/"
"Perlite","Natural",,0.660,0.030,,"Not specified","Ref. 114.",,"http://people.bath.ac.uk/cj219/"
"Plaster","General (Gypsum)",,1.800,0.120,0.130,"Cradle to gate","Problems selecting good value, inconsistent figures, West et al believe this is because of past aggregation of EE with cement",,"http://people.bath.ac.uk/cj219/"
"Plaster","Plasterboard",,6.750,0.380,0.390,"Cradle to gate","See Ref [WRAP] for further info on GWP data, including disposal impacts which are significant for Plasterboard.",,"http://people.bath.ac.uk/cj219/"
"Plastics","ABS",,95.300,3.050,3.760,"Cradle to gate","48.6 MJ/kg Feedstock Energy  (Included)",,"http://people.bath.ac.uk/cj219/"
"Plastics","General",,80.500,2.730,3.310,"Cradle to gate","35.6 MJ/kg Feedstock Energy  (Included). Determined by the average use of each type of plastic used in the European construction industry.",,"http://people.bath.ac.uk/cj219/"
"Plastics","General polyethylene",,83.100,2.040,2.540,"Cradle to gate","54.4 MJ/kg Feedstock Energy  (Included). Based on average consumption of types of polyethylene in European construction",,"http://people.bath.ac.uk/cj219/"
"Plastics","High Density Polyethylene Pipe",,84.400,2.020,2.520,"Cradle to gate","55.1 MJ/kg Feedstock Energy  (Included)",,"http://people.bath.ac.uk/cj219/"
"Plastics","High Density Polyethylene Resin",,76.700,1.570,1.930,"Cradle to gate","54.3 MJ/kg Feedstock Energy  (Included). Doesn’t include the final fabrication.",,"http://people.bath.ac.uk/cj219/"
"Plastics","Low Density Polyethylene  Film",,89.300,2.130,2.600,"Cradle to gate","55.2 MJ/kg Feedstock Energy (Included)",,"http://people.bath.ac.uk/cj219/"
"Plastics","Low Density Polyethylene Resin",,78.100,1.690,2.080,"Cradle to gate","51.6 MJ/kg Feedstock Energy  (Included). Doesn't include the final fabrication",,"http://people.bath.ac.uk/cj219/"
"Plastics","Nylon (Polyamide)","6 Polymer",120.500,5.470,9.140,"Cradle to gate","38.6 MJ/kg Feedstock Energy  (Included). Doesn’t include final fabrication. Plastics Europe state that two thirds of nylon is used as fibres (textiles, carpets…etc) in Europe and that most of the remainder as injection mouldings.",,"http://people.bath.ac.uk/cj219/"
"Plastics","Nylon (Polyamide)","6,6 Polymer",138.600,6.540,7.920,"Cradle to gate","50.7 MJ/kg Feedstock Energy  (Included). Doesn’t include final fabrication (i.e. injection moulding). See comments for Nylon 6 polymer.",,"http://people.bath.ac.uk/cj219/"
"Plastics","Polycarbonate",,112.900,6.030,7.620,"Cradle to gate","36.7 MJ/kg Feedstock Energy  (Included). Doesn’t include final fabrication.",,"http://people.bath.ac.uk/cj219/"
"Plastics","Polypropylene","Injection Moulding",115.100,3.930,4.490,"Cradle to gate","54 MJ/kg Feedstock Energy  (Included). If biomass benefits are included the CO2 may reduce to 3.85 kgCO2/kg, and GWP down to 4.41 kg CO2e/kg.",,"http://people.bath.ac.uk/cj219/"
"Plastics","Polypropylene","Orientated film",99.200,2.970,3.430,"Cradle to gate","55.7 MJ/kg Feedstock Energy  (Included).",,"http://people.bath.ac.uk/cj219/"
"Plastics","Polystyrene","Expanded",88.600,2.550,3.290,"Cradle to gate","46.2 MJ/kg Feedstock Energy  (Included)",,"http://people.bath.ac.uk/cj219/"
"Plastics","Polystyrene","General purpose",86.400,2.710,3.430,"Cradle to gate","46.3 MJ/kg Feedstock Energy  (Included)",,"http://people.bath.ac.uk/cj219/"
"Plastics","Polystyrene","High impact",87.400,2.760,3.420,"Cradle to gate","46.4 MJ/kg Feedstock Energy  (Included)",,"http://people.bath.ac.uk/cj219/"
"Plastics","Polystyrene","Thermoformed expanded",109.200,3.450,4.390,"Cradle to gate","49.7 MJ/kg Feedstock Energy  (Included)",,"http://people.bath.ac.uk/cj219/"
"Plastics","Polyurethane flexible foam",,102.100,4.060,4.840,"Cradle to gate","33.47 MJ/kg Feedstock Energy  (Included). Poor data availability for feedstock energy",,"http://people.bath.ac.uk/cj219/"
"Plastics","Polyurethane rigid foam",,101.500,3.480,4.260,"Cradle to gate","37.07 MJ/kg Feedstock Energy  (Included). Poor data availability for feedstock energy",,"http://people.bath.ac.uk/cj219/"
